,R_ABS,G_ABS
334212,-21.5686777062756,-21.04643302016688
334284,-20.104947644363133,-19.559645858129837
334312,-20.733617363582987,-20.120631935754943
334357,-20.87725354262179,-20.388193163900763
334383,-22.959375541515683,-22.342173688279544
334473,-20.347975164520378,-19.56606777656158
334753,-20.247284006598566,-19.49853589784803
338043,-20.17696877824478,-19.4484704483121
338278,-21.665100489688786,-21.07619373857028
338391,-22.335515643270096,-21.58185250103073
338640,-21.25877435530942,-20.499442985358943
339570,-20.763209671516975,-20.03079570688363
339813,-20.64561071483113,-20.26049771734765
340774,-20.502571991059064,-19.758202145561263
340911,-22.300405155612125,-21.506388074383807
341083,-20.625063027042913,-19.907035507547395
342355,-20.170527865586696,-19.69177228425989
342657,-20.135574584722082,-19.70097240593465
342665,-21.965038010511414,-21.18523706958944
345652,-21.912375324954148,-21.1587816891921
345918,-21.120742423450796,-20.235327110054463
353367,-20.782029775352363,-20.43158992639234
353369,-20.301604297084243,-19.517397514924333
353426,-20.35768184941382,-19.375473526530524
355046,-20.031529506517973,-19.527299120296423
361433,-21.13628713626397,-20.38430676881481
362453,-20.731638090682136,-19.93408708118649
367413,-20.485764922290468,-19.74903279322117
380649,-22.48940816829652,-21.875487768507007
382404,-20.356012674066303,-19.59507223393254
382708,-20.105397354632384,-19.558099542721262
383896,-21.64784391738384,-21.006161459056493
385740,-20.592888558782352,-19.92101519493947
386385,-20.33474265121386,-19.73511129813733
386608,-21.356944091234894,-20.615016417812967
387045,-21.21930116103972,-20.64027502171153
387088,-21.37864407140449,-20.633264900279038
387128,-21.36431942024292,-20.860369407065278
387784,-20.603301890824348,-19.86438576259276
387847,-23.633100224088395,-22.868157669168255
387889,-20.162594705296584,-19.39267749672072
388037,-20.893366082042697,-20.222497153350044
388681,-23.05342324654142,-22.271530975537914
388844,-21.154651779876584,-20.441874795121695
389058,-20.902003862874334,-20.175083618680006
389066,-20.49308554886644,-19.724365526594713
389431,-21.424737404669518,-20.67127332670623
389881,-20.764373906943458,-20.012976505531032
390806,-21.420536004299198,-20.642497924102013
391162,-20.81455140674043,-20.029277234799846
391558,-20.685441319286944,-19.896535506156745
391797,-23.431376237490745,-22.64475325021759
392093,-20.880779859953083,-20.114295338770344
392133,-20.408564229688583,-19.6561298674457
392237,-21.45430930427573,-20.69573981511927
392395,-20.295191712936205,-19.609352926832177
392605,-21.159653851044638,-20.359309776733785
392759,-20.881235671092078,-20.227277071150528
392910,-21.621165379233762,-20.839550497030388
393036,-21.26524636183667,-20.684712304346043
393082,-22.45392980886726,-21.66729698071852
393085,-20.46709424908264,-19.6865275785594
393380,-20.330620107967448,-19.727786945513884
